3 20 2
6 3 12 7
0 7 20 0
0 3 14 0
3 0 0 5
2 8 13 3
0 3 13 0
3 3 6 5
8 10 13 9
10 5 11 8
1 0 12 0
10 8 5 6
4 1 15 5
1 13 2 2
10 7 18 11
6 13 18 10
10 7 13 4
3 8 15 3
1 9 9 0
9 11 19 8
0 10 18 1
3 7 9 4
1 8 16 1
8 0 16 9
9 13 3 10
8 0 15 10
8 1 6 7
5 0 1 3
1 0 11 3
2 15 17 4
0 11 16 0
10 12 16 12
2 10 15 3
2 11 0 1
9 7 6 7
8 6 3 7
8 3 4 6
3 0 17 3
4 14 14 5
0 9 10 2
10 10 5 11
6 10 7 6
4 9 10 5
4 12 0 2
6 5 2 6
9 6 13 9
5 15 9 6
3 10 19 7
3 7 18 4
1 5 11 2
3 0 8 2
10 4 6 11
0 9 1 0
10 1 4 10
2 1 6 3
7 13 11 4
6 2 9 6
2 6 7 3
7 3 2 6
1 4 7 2
10 14 14 12
