5 50
2 9 1
0 5 16
0 12 10
0 5 17
0 12 6
6 8 3
0 12 3
0 5 13
0 15 12
0 0 17
1 0 0
2 12 13
7 9 18
0 0 9
0 10 12
9 0 9
8 15 18
9 11 13
10 14 2
0 9 16
3 10 0
1 14 6
4 2 20
2 10 17
5 4 4
8 3 9
7 14 3
7 3 2
1 12 20
5 0 17
6 1 19
0 0 19
10 1 17
10 3 0
7 10 4
1 5 5
4 10 19
9 15 9
2 2 13
5 8 18
7 15 11
6 4 2
3 0 12
7 11 19
7 6 18
10 8 10
2 10 17
4 3 1
5 5 9
4 3 10
2 7 3
7 13 16
5 13 13
5 8 19
9 6 15
8 15 2
4 5 7
5 15 11
2 12 2
6 0 9
5 8 4
7 3 17
7 0 14
8 11 6
9 15 9
6 2 12
10 9 0
5 15 9
10 13 19
3 5 17
4 4 3
6 1 14
3 15 20
8 2 5
2 15 6
5 4 7
10 11 8
5 15 6
3 13 3
6 0 17
10 13 1
7 5 7
0 1 5
5 13 10
8 0 13
8 12 0
7 4 13
1 13 19
4 6 18
8 11 10
9 9 3
7 3 16
5 5 7
5 1 5
3 14 0
4 8 18
9 3 0
2 2 10
6 6 1
9 1 5
8 6 10
7 6 20
1 3 10
4 3 20
6 8 6
1 2 7
9 3 20
10 11 20
1 1 10
0 6 15
7 3 1
7 7 6
6 13 1
1 8 0
10 15 15
2 4 4
7 13 12
3 1 9
8 15 8
1 8 3
7 14 2
4 9 12
5 2 15
4 8 20
5 14 4
4 9 10
2 3 10
4 2 20
6 7 17
0 3 11
8 7 9
4 2 10
9 2 4
8 10 2
0 13 8
8 2 0
0 2 17
3 6 12
1 9 12
3 2 2
10 1 16
3 14 16
5 6 1
9 11 20
3 4 5
6 5 15
1 2 1
10 2 0
1 7 18
3 3 12
7 4 7
8 3 3
1 12 7
6 15 5
4 6 19
9 1 18
3 4 14
5 9 6
4 2 2
8 4 9
10 4 13
10 15 17
2 13 15
6 4 1
4 0 4
8 3 2
0 0 2
5 6 3
3 12 12
1 14 17
4 1 9
1 7 1
7 11 11
6 6 10
9 5 13
8 11 1
7 0 19
4 6 20
3 0 5
8 11 10
6 7 8
3 10 13
1 2 8
10 2 4
9 1 12
9 6 19
7 5 4
3 13 0
2 12 4
3 2 18
1 15 10
2 5 10
8 10 4
1 4 0
7 6 13
0 7 10
9 11 16
8 15 20
0 12 10
10 13 2
9 14 5
5 10 17
7 3 2
9 15 9
5 12 2
5 5 12
10 6 13
10 11 2
3 2 2
7 10 13
4 10 3
6 15 17
9 4 3
6 13 0
1 3 0
1 15 14
6 4 7
6 15 14
5 5 3
9 4 16
3 6 20
10 3 20
4 2 8
2 12 5
4 11 7
4 9 2
5 0 3
10 13 15
8 8 19
2 1 0
6 6 14
7 4 14
0 13 2
4 7 6
7 0 2
0 6 15
7 9 16
9 15 17
5 5 20
6 11 9
6 11 18
5 12 14
6 0 13
4 11 15
2 5 15
1 12 2
2 4 9
8 10 6
8 3 0
0 11 19
